session,quelle,thema,erstellt,selbsteinschaetzung-sprache,themenbezogenheit,logik-des-aufbaus,ausfuehrlichkeit-aussagekraft,sprachbeherrschung,komplexitaet,wortschatz-textverknuepfung,gebrauch-sprachlicher-strukturen,selbsteinschaetzung-bewertung
spi4fc3xqc8vlgepupj60e80z5ja0jql,ChatGPT-3,technology that widen the gap between rich and poor?,2023-03-28 12:57:06.308434+00:00,4,5,5,5,6,6,6,5,3
3ekw2nmnlpi8xlds6evadnvk99e4tznt,ChatGPT-3,International sporting occasions help to ease international tensions,2023-03-28 12:57:06.645680+00:00,5,5,4,4,6,5,5,5,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,Government should make more effort to promote alternative sources of energy,2023-03-28 12:57:12.722141+00:00,2,3,3,3,3,3,3,3,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,Do married women usually work? Why and why not?,2023-03-28 12:57:16.859424+00:00,2,4,2,2,4,3,3,3,2
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-3,effects of globalization (decrease in global tension),2023-03-28 12:57:18.998767+00:00,4,5,5,5,6,5,5,6,3
fxty78tj0luhghulpp686zi9swrx64xi,ChatGPT-4,Influence Of Large Factory,2023-03-28 12:57:19.283348+00:00,2,5,5,5,6,5,6,5,2
wmwrgz5dwqtgkkxf3mz3efhc44w9ly2u,ChatGPT-4,Lessons with teachers versus others sources,2023-03-28 12:57:20.028169+00:00,2,2,4,3,6,5,5,5,0
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-4,effects of globalization (decrease in global tension),2023-03-28 12:57:20.190472+00:00,3,3,3,3,3,3,3,3,0
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-3,Government And Education,2023-03-28 12:57:21.406939+00:00,5,5,5,4,6,6,5,5,4
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,effects of globalization (decrease in global tension),2023-03-28 12:57:24.119018+00:00,1,4,3,2,6,3,4,5,1
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-4,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:57:28.567180+00:00,2,5,5,4,6,5,4,6,3
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-4,Financial Aid To Developing Countries,2023-03-28 12:57:30.053729+00:00,2,4,5,5,6,5,6,5,0
bnpk5arlgchs81ch0so6l8ult9uqyqiy,Student,Government And Education,2023-03-28 12:57:32.219702+00:00,3,4,4,3,4,3,4,3,0
bfb3uj06g3twa0h1oerv63pcacnffkls,Student,computer has negative effects to children,2023-03-28 12:57:33.101779+00:00,5,4,5,4,3,5,4,4,3
jfxrdb4vpizn9mjmtka32psmk1htgegt,ChatGPT-3,High sales reflect Power of Advertising and not the Real Need,2023-03-28 12:57:35.295663+00:00,4,4,4,4,5,4,5,4,2
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Gun control,2023-03-28 12:57:42.423306+00:00,3,4,4,3,2,2,2,2,3
vuquzx3ubk4v1zdjfplm09tndn2y6qmk,ChatGPT-3,Study at school or get a job?,2023-03-28 12:57:43.949959+00:00,3,5,4,5,5,4,5,5,2
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-4,Paying more money is the only motivation to make employees work harder,2023-03-28 12:57:44.916577+00:00,3,6,6,6,6,5,6,5,0
zby0p8ese5gmn1tslotguvjz6sr6fwry,Student,Society should ban all forms of the advertising,2023-03-28 12:57:46.524990+00:00,1,2,4,3,3,3,3,3,1
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-4,Benefits of students' unpaid work,2023-03-28 12:57:47.513623+00:00,5,5,5,5,6,5,6,6,4
kgermx9bs6qgjoj2uylwnlxuf2qmn2cx,Student,Lessons with teachers versus others sources,2023-03-28 12:57:47.646598+00:00,5,4,4,3,6,5,5,6,3
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,High sales reflect Power of Advertising and not the Real Need,2023-03-28 12:57:49.300772+00:00,2,4,4,4,5,3,4,4,2
4uoh2nx86fnqgnkejetsvff15ade7r4p,ChatGPT-3,True Function of A University,2023-03-28 12:57:50.674404+00:00,1,2,3,4,3,3,3,3,0
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-4,Paying more money is the only motivation to make employees work harder,2023-03-28 12:57:50.726958+00:00,4,5,5,5,5,5,5,5,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-4,Prepared Food,2023-03-28 12:57:51.424380+00:00,2,4,5,3,6,3,5,5,1
85d01jfwme6nq0xuv81yn1jel0bsnxq6,ChatGPT-4,Living and studying overseas,2023-03-28 12:57:51.452171+00:00,3,6,5,3,5,5,6,6,2
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-3,Do married women usually work? Why and why not?,2023-03-28 12:57:51.730745+00:00,4,5,4,3,6,6,6,6,2
5kswaykptc8x72fo2st04imj7ubd88u5,ChatGPT-4,Should governments be responsible to help the unemployed and homeless,2023-03-28 12:57:51.914432+00:00,3,4,4,4,5,4,4,4,3
gu2mqy8u00yps3emmb12kbau21v0mqy0,ChatGPT-3,"Sporting events easing international tensions, releasing patriotic feelings",2023-03-28 12:57:55.308819+00:00,5,4,4,4,5,4,5,5,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,ChatGPT-4,Study at school or get a job?,2023-03-28 12:57:56.961570+00:00,5,5,4,5,5,4,4,5,3
7h4kehby4qflhzzjg13qr89hl89kr6s2,ChatGPT-3,Museums as a form of entertainment or education?,2023-03-28 12:57:59.668788+00:00,1,6,5,5,6,5,5,5,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,High sales reflect Power of Advertising and not the Real Need,2023-03-28 12:58:03.310651+00:00,2,5,5,4,4,4,5,4,1
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,Why should human beings travel to outer space?,2023-03-28 12:58:03.332852+00:00,2,5,5,4,5,5,5,5,0
1ffzqxil7h3zmumj85svnetx29uvej3o,ChatGPT-4,Everyone Should Go Camping,2023-03-28 12:58:03.472783+00:00,2,5,4,4,6,5,5,5,2
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-3,Gun control,2023-03-28 12:58:06.364806+00:00,2,4,4,3,4,3,4,4,0
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-3,Should governments be responsible to help the unemployed and homeless,2023-03-28 12:58:09.120773+00:00,2,1,2,2,3,3,3,3,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-3,technology that widen the gap between rich and poor?,2023-03-28 12:58:09.142360+00:00,2,3,2,2,5,3,3,4,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-4,Young people should go to university or not,2023-03-28 12:58:09.162464+00:00,2,3,4,3,4,3,4,4,2
tv2gkmaekp405mvx55d3rsxj9fzocyn8,Student,"Sporting events easing international tensions, releasing patriotic feelings",2023-03-28 12:58:09.296143+00:00,5,4,4,4,4,4,4,4,3
yhhasgbui0x5dneax62an6p0y769nhca,Student,Benefits of students' unpaid work,2023-03-28 12:58:09.596473+00:00,0,4,4,4,6,6,4,4,0
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:58:11.154355+00:00,1,2,3,3,5,4,4,4,0
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-3,Paying more money is the only motivation to make employees work harder,2023-03-28 12:58:13.354074+00:00,0,4,4,4,4,3,3,4,0
tt7g5cc8q09pivcekvsfj83qnvphc0c3,ChatGPT-4,Gun control,2023-03-28 12:58:13.760550+00:00,2,5,5,5,6,6,5,5,2
6ganr5vnayf3earis2qokj91nfkjprl1,Student,technology that widen the gap between rich and poor?,2023-03-28 12:58:13.912377+00:00,4,4,4,5,5,4,5,4,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,Student,Should governments be responsible to help the unemployed and homeless,2023-03-28 12:58:17.537874+00:00,4,2,2,2,4,2,3,3,3
6vszxf66bcd0elzhfr99j3rio2nf3jyp,ChatGPT-4,Government should make more effort to promote alternative sources of energy,2023-03-28 12:58:17.575086+00:00,4,5,5,5,6,6,6,6,4
b5641jbn13rh3k093necyaddm2cxwhoc,ChatGPT-4,"Sporting events easing international tensions, releasing patriotic feelings",2023-03-28 12:58:18.941088+00:00,3,6,6,5,6,5,5,5,3
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-3,Benefits of students doing extra jobs,2023-03-28 12:58:20.895306+00:00,4,5,5,4,6,4,4,5,3
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-3,Why should human beings travel to outer space?,2023-03-28 12:58:20.978792+00:00,2,5,4,2,3,3,3,3,2
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-4,Why should human beings travel to outer space?,2023-03-28 12:58:22.450197+00:00,4,6,5,5,6,6,6,6,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,zoos should be built to protect rural animals,2023-03-28 12:58:23.240794+00:00,2,1,2,2,2,2,1,2,0
8j5mwnzgha1ifg9okov4p9mpwdxxvf6x,ChatGPT-3,Study at school or get a job?,2023-03-28 12:58:27.900400+00:00,3,5,5,6,6,4,5,5,3
uatb851hhhj4nslj3ocd8yo240wnqgu5,Student,Benefits of students doing extra jobs,2023-03-28 12:58:29.442047+00:00,2,4,4,4,5,4,4,5,0
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Gun control,2023-03-28 12:58:29.541675+00:00,4,5,5,5,6,5,6,6,3
gpic2k2okuxes27ltc6cg7fqq6xvqwyd,ChatGPT-3,Advertisements affects on consumer goods,2023-03-28 12:58:31.227751+00:00,1,4,4,3,4,3,4,4,2
2bbhl6g2uav5bt0jutfc8wuco738qag5,ChatGPT-3,High sales reflect Power of Advertising and not the Real Need,2023-03-28 12:58:32.469322+00:00,4,5,5,5,6,5,4,5,2
xea685r9fwrkuaugtc3aucspv34av5el,ChatGPT-3,Gender Equality at university admission,2023-03-28 12:58:32.848591+00:00,5,4,4,3,6,5,6,5,3
ruffupr6v7c4hcyndfmfklht33nr6r1y,Student,Why should human beings travel to outer space?,2023-03-28 12:58:32.955679+00:00,5,3,4,4,6,5,5,5,4
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,Student,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:58:32.973500+00:00,4,5,6,5,5,6,5,4,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,Student,International sporting occasions help to ease international tensions,2023-03-28 12:58:34.256859+00:00,2,5,6,5,5,6,5,5,3
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-3,Paying more money is the only motivation to make employees work harder,2023-03-28 12:58:34.573494+00:00,3,2,4,3,4,3,4,3,0
6y89af5q9a9exs9tcc2lk9tphhn6oeh3,ChatGPT-4,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:58:36.655603+00:00,3,1,0,0,0,0,0,0,3
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,ChatGPT-3,Benefits of students' unpaid work,2023-03-28 12:58:41.863470+00:00,1,5,5,4,6,4,4,5,1
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-3,Should high school make music lessons compulsory,2023-03-28 12:58:45.478981+00:00,3,6,6,5,6,5,5,4,0
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,Benefits of students' unpaid work,2023-03-28 12:58:46.870134+00:00,3,5,5,5,6,5,5,5,3
otoqe4kenlwd1n79qw5t6u98a78fd2wo,Student,Paying more money is the only motivation to make employees work harder,2023-03-28 12:58:47.921180+00:00,3,2,4,2,4,3,3,4,2
ksredoneqru0xqxf7nq2hydb58zr0nvn,ChatGPT-3,Do married women usually work? Why and why not?,2023-03-28 12:58:48.598183+00:00,3,4,4,3,4,3,4,3,2
c5e8dbxl8892elwdq7enj4u6ldlp7zag,Student,Everyone Should Go Camping,2023-03-28 12:58:50.095415+00:00,4,2,4,4,5,4,5,5,2
0j5ac1w3jqs3n4d88fxghkr996puxnzf,ChatGPT-3,International sporting occasions help to ease international tensions,2023-03-28 12:58:52.417914+00:00,2,5,5,4,6,6,5,6,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,Student,Should high school make music lessons compulsory,2023-03-28 12:58:56.212165+00:00,4,4,4,3,4,4,4,4,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,Should governments be responsible to help the unemployed and homeless,2023-03-28 12:59:00.334215+00:00,1,5,4,4,5,4,4,4,1
flhpvtppxp5oyqksisq22okdbo74cka0,ChatGPT-3,Government should make more effort to promote alternative sources of energy,2023-03-28 12:59:02.003300+00:00,1,4,4,3,4,2,4,4,0
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-3,distance-learning vs. attending school in person,2023-03-28 12:59:02.213325+00:00,1,5,5,5,6,5,6,5,1
ijrt9imkugyvgpj17hpnqv2zzrcbokzz,ChatGPT-3,Why should human beings travel to outer space?,2023-03-28 12:59:02.269131+00:00,4,0,4,3,5,5,5,4,2
uwrin05xaajicfy33jc255se0w5vq22d,ChatGPT-4,Alternative forms of transport to alleviate traffic congestion,2023-03-28 12:59:02.820466+00:00,2,5,5,5,6,5,6,5,3
8y24o71xlukzq85g17n6ckhh09qf69pm,Student,Should governments be responsible to help the unemployed and homeless,2023-03-28 12:59:09.181397+00:00,3,3,3,3,4,4,4,4,1
zprb1muapmszr1s8btczu55w5y4wlxpe,ChatGPT-3,Government And Education,2023-03-28 12:59:10.369816+00:00,4,5,5,5,6,6,5,6,2
ige0otcvhf6bn2o0w7mj4q1pb5u4r7ym,ChatGPT-3,"Sporting events easing international tensions, releasing patriotic feelings",2023-03-28 12:59:10.573183+00:00,1,5,5,5,6,6,6,6,0
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,ChatGPT-3,humans should be able to use animals for their own benefit?,2023-03-28 12:59:16.338295+00:00,2,2,2,3,3,2,3,4,1
wx1ftoab40fv73rki7wvap3lfiryf598,Student,Benefits of students' unpaid work,2023-03-28 12:59:16.784795+00:00,5,4,4,4,3,2,3,3,4
bnpk5arlgchs81ch0so6l8ult9uqyqiy,ChatGPT-4,Do modern communication technologies benefit all people,2023-03-28 12:59:18.757257+00:00,3,4,5,5,6,5,5,6,0
5kswaykptc8x72fo2st04imj7ubd88u5,Student,pros and cons of developments in agriculture,2023-03-28 12:59:18.925116+00:00,3,4,4,3,4,3,3,3,3
9uk952ds930jytbio28ptj8c3t7qfd0y,ChatGPT-3,should teenagers learn all school subjects/focus on one subject,2023-03-28 12:59:20.298339+00:00,2,2,1,1,2,1,1,2,0
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,humans should be able to use animals for their own benefit?,2023-03-28 12:59:23.383673+00:00,5,5,5,5,6,5,5,5,2
gu2mqy8u00yps3emmb12kbau21v0mqy0,Student,pros and cons of developments in agriculture,2023-03-28 12:59:26.039662+00:00,5,4,4,4,4,3,4,3,3
0ynzvwvxifu3enwwv5vog2rc8via3sb4,ChatGPT-3,Benefits of students doing extra jobs,2023-03-28 12:59:26.184849+00:00,2,4,4,3,6,3,3,4,2
4pk3owfwo13gmb1w2lq7wadkc9sjzb18,ChatGPT-4,Benefits of students' unpaid work,2023-03-28 12:59:26.535086+00:00,5,5,5,5,6,5,5,5,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-4,Should high school make music lessons compulsory,2023-03-28 12:59:27.151596+00:00,5,5,5,5,5,5,5,5,3
fotpixguym6bxcv3wcjf4rjwcvbtrrb2,Student,Government should make more effort to promote alternative sources of energy,2023-03-28 12:59:28.705962+00:00,1,3,2,3,4,3,4,4,2
g0rntgh8sk4ehswu3iphviv8byk5bgad,ChatGPT-4,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:59:32.556756+00:00,4,3,4,4,4,5,5,5,2
yoo1jra1u9p6xm2ijx2uqx6b8i1bpz2d,ChatGPT-4,International sporting occasions help to ease international tensions,2023-03-28 12:59:33.054506+00:00,3,5,4,5,5,4,4,4,2
x90j0mb3p2e7nqay9plsgzge4hjjnm6g,ChatGPT-4,museums and art galleries will disappear soon?,2023-03-28 12:59:38.096764+00:00,0,4,4,4,4,4,4,4,0
yhhasgbui0x5dneax62an6p0y769nhca,Student,humans should be able to use animals for their own benefit?,2023-03-28 12:59:38.713263+00:00,0,3,3,3,3,3,3,3,0
3abdtb3vc2w8k9u6k3bbajtd6szuifko,ChatGPT-3,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:59:39.264690+00:00,4,5,4,3,5,4,5,3,2
69tf3g7u3j0ifyx5861asy2361cjr8gf,Student,True Function of A University,2023-03-28 12:59:40.708543+00:00,2,2,2,2,4,2,2,3,1
z829f0o2q6wb7in59s4xp8d6xpwhkzcg,Student,High sales reflect Power of Advertising and not the Real Need,2023-03-28 12:59:41.115224+00:00,2,4,4,4,4,3,4,4,3
k93jcx7ncootup27k9cukufet8klqhe4,ChatGPT-4,distance-learning vs. attending school in person,2023-03-28 12:59:41.907688+00:00,5,6,5,6,6,6,6,6,4
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-4,creativity-should it be given freedom or restrictions,2023-03-28 12:59:43.382730+00:00,3,4,4,4,4,4,4,4,0
spi4fc3xqc8vlgepupj60e80z5ja0jql,Student,zoos should be built to protect rural animals,2023-03-28 12:59:44.254165+00:00,4,5,5,3,3,4,3,3,3
l8hb42vkvf2qs5c2q38qee4yk4vz34g6,ChatGPT-3,museums and art galleries will disappear soon?,2023-03-28 12:59:47.027642+00:00,4,2,3,4,6,6,6,6,3
2l8nhwu0bdi4vvlgs3e7h8l8s9w65n8q,ChatGPT-4,zoos should be built to protect rural animals,2023-03-28 12:59:49.637157+00:00,4,5,5,5,6,5,5,5,3
30fw2qnkvcx4h00abgbolm59x1g1nvtc,ChatGPT-3,distance-learning vs. attending school in person,2023-03-28 12:59:51.156527+00:00,2,4,4,4,4,3,4,4,2
koecf6ha05tlkkowh8eyc1hj11ptbfey,Student,Giving aid to poorer countries has more negative effects than positive effect,2023-03-28 12:59:52.118527+00:00,3,1,5,2,3,5,5,3,3
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-4,creativity-should it be given freedom or restrictions,2023-03-28 12:59:53.454121+00:00,2,5,5,6,5,5,6,5,3
0srbxg98ookztl91uhlt1s9rgtbw53s4,ChatGPT-4,True Function of A University,2023-03-28 12:59:53.635386+00:00,2,5,4,4,5,6,5,6,2
yifwrgjzvf47cgclce78a6s9vwttz03s,ChatGPT-4,humans should be able to use animals for their own benefit?,2023-03-28 12:59:54.277005+00:00,2,4,4,3,4,4,4,4,0
o1kt32aukcf229hga3hdxmaqe1ezwhry,ChatGPT-4,advantages and disadvantages of the prevalent of English,2023-03-28 13:00:01.252247+00:00,2,4,4,4,4,4,4,4,0
csp5ciwsydqgtz6uq9l3a9145gcmq3as,Student,Should high school make music lessons compulsory,2023-03-28 13:00:03.944846+00:00,2,5,5,3,4,3,4,4,2
as43e4efz9lqo3l3lncscyq1p9smbcxf,ChatGPT-3,competition or co-operation-which is better,2023-03-28 13:00:04.156773+00:00,4,2,2,2,3,3,3,3,3
goy6fcxoim5ydlkiarbswih1qcqqca18,ChatGPT-4,Benefits of students doing extra jobs,2023-03-28 13:00:06.423951+00:00,2,6,5,6,6,5,6,5,2
zby0p8ese5gmn1tslotguvjz6sr6fwry,ChatGPT-3,Should high school make music lessons compulsory,2023-03-28 13:00:06.750916+00:00,1,6,6,5,6,6,6,6,3
7o3t5f9mlhabs633ahy199a6jskwrmf0,ChatGPT-3,True Function of A University,2023-03-28 13:00:07.183919+00:00,1,4,4,4,5,4,4,4,1
twgmdtb7g2y9scz3vw45nqh4w3nvpt1q,ChatGPT-4,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:00:07.444139+00:00,4,6,6,6,6,6,6,6,3
ppafqznb6xi3jwzmu94xtukc119jstbz,ChatGPT-3,creativity-should it be given freedom or restrictions,2023-03-28 13:00:08.303334+00:00,3,5,5,5,6,5,5,5,3
c65f6wf1av4g3nkfzj11vbs3j4ut7e5p,ChatGPT-4,"Sporting events easing international tensions, releasing patriotic feelings",2023-03-28 13:00:09.663040+00:00,4,5,5,5,6,6,5,6,3
mfctuxkizf1flo6083xotwsi3o40wdup,ChatGPT-3,Will newspapers become a thing of the past?,2023-03-28 13:00:10.908251+00:00,1,5,5,5,6,5,5,5,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,ChatGPT-4,International sporting occasions help to ease international tensions,2023-03-28 13:00:13.439526+00:00,3,6,5,6,6,5,5,5,1
bfb3uj06g3twa0h1oerv63pcacnffkls,ChatGPT-3,Do modern communication technologies benefit all people,2023-03-28 13:00:15.694807+00:00,5,5,5,4,6,4,5,5,3
7m0e64i3izio38r6xchtiigf45pqo57b,ChatGPT-3,Financial Aid To Developing Countries,2023-03-28 13:00:17.210313+00:00,4,2,4,3,6,4,5,5,2
lhvr4hzosu3w8zpxewi9lpavmvaon5a7,Student,Do modern communication technologies benefit all people,2023-03-28 13:00:18.015396+00:00,3,4,4,3,5,4,4,4,3
6ganr5vnayf3earis2qokj91nfkjprl1,ChatGPT-3,museums and art galleries will disappear soon?,2023-03-28 13:00:18.118619+00:00,4,6,6,6,6,6,6,6,3
dc07m79j66n4bqxowx5uw2ogib8bb1zd,Student,advantages and disadvantages of the prevalent of English,2023-03-28 13:00:19.120597+00:00,5,4,3,3,2,3,2,2,3
q6pbiymk6hbriv1i7otts03k8x05w5x5,Student,Benefits of students doing extra jobs,2023-03-28 13:00:21.846398+00:00,1,5,5,3,5,5,5,5,2
8276wlcpcdeplfxo6gwqscnzc4zr8zun,ChatGPT-3,creativity-should it be given freedom or restrictions,2023-03-28 13:00:22.554511+00:00,3,2,2,3,6,3,4,4,0
7dp5uc83ssih07i9zrammmdz6yxrm578,ChatGPT-4,humans should be able to use animals for their own benefit?,2023-03-28 13:00:26.662822+00:00,2,3,2,2,5,3,4,5,3
ruffupr6v7c4hcyndfmfklht33nr6r1y,ChatGPT-4,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:00:27.248733+00:00,5,4,5,4,6,6,6,6,4
gzefi1rs5qm7904owyzotxhxc3ny9goh,ChatGPT-4,Government should make more effort to promote alternative sources of energy,2023-03-28 13:00:27.390203+00:00,4,5,6,5,6,6,6,6,3
tjnxkh2r9r1mczt21hzf1ne2ml32pc05,ChatGPT-3,pros and cons of developments in agriculture,2023-03-28 13:00:28.072244+00:00,2,4,5,3,6,4,6,5,1
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,ChatGPT-4,people will spend less time on cooking food,2023-03-28 13:00:30.775708+00:00,3,4,4,4,4,4,4,4,0
708dg1iqj3nk0wmc22tmdgx9ldvsx3ox,Student,creativity-should it be given freedom or restrictions,2023-03-28 13:00:36.088050+00:00,1,5,4,4,4,4,5,5,1
ys5a2dcpibtimnjqyrf7k4xuggcr9a0n,ChatGPT-3,should teenagers learn all school subjects/focus on one subject,2023-03-28 13:00:36.374297+00:00,4,5,5,4,5,4,5,5,3
fpclvya6ezg3r9y75so0eijx3g92fth7,ChatGPT-4,Study at school or get a job?,2023-03-28 13:00:36.445596+00:00,1,4,4,4,5,4,4,5,0
a460q5wc7leq8556iqzmjpy26gunhcno,ChatGPT-4,advantages and disadvantages of the prevalent of English,2023-03-28 13:00:38.373934+00:00,2,4,5,4,4,5,4,4,0
wwmqz42o3int4rtr1s5ea0oycp6kerm5,ChatGPT-4,should teenagers learn all school subjects/focus on one subject,2023-03-28 13:00:39.756479+00:00,2,4,4,3,5,3,3,3,3
vzzb1nrdniw3zxwhqwal7j0qcdpxfmuu,Student,is a break good or bad after high school for students,2023-03-28 13:00:41.717938+00:00,2,3,2,2,2,2,2,3,1
b5641jbn13rh3k093necyaddm2cxwhoc,Student,museums and art galleries will disappear soon?,2023-03-28 13:00:42.329541+00:00,3,4,4,4,3,4,4,3,3
ilfp64e1834fa3jfozvmtz4bmpezd3b1,ChatGPT-4,pros and cons of developments in agriculture,2023-03-28 13:00:43.915558+00:00,4,5,5,5,6,4,5,4,3
3kl7nnbqdpldx8sgoep4elq7dn8hlv38,ChatGPT-3,"computers..use,future prospects and over-dependence",2023-03-28 13:00:44.401282+00:00,5,4,4,4,6,6,6,6,3
xs3bvqru1ijm1a6rkls6k9soebp4t9j6,ChatGPT-3,competition or co-operation-which is better,2023-03-28 13:00:45.771378+00:00,1,4,4,3,4,3,3,3,1
tv2gkmaekp405mvx55d3rsxj9fzocyn8,ChatGPT-3,is a break good or bad after high school for students,2023-03-28 13:00:46.125361+00:00,5,4,5,4,6,5,4,4,2
6b4i3beeyzk6hq0hyl57kf0nqd7jc41j,ChatGPT-4,should teenagers learn all school subjects/focus on one subject,2023-03-28 13:00:46.145233+00:00,4,6,5,5,6,5,6,5,3
uatb851hhhj4nslj3ocd8yo240wnqgu5,Student,should teenagers learn all school subjects/focus on one subject,2023-03-28 13:00:47.072513+00:00,2,3,2,2,3,3,2,2,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,Student,Technology keeps traditional skills and ways of life alive or not?,2023-03-28 13:00:47.633576+00:00,3,5,6,5,6,5,6,6,1
scntfq9o0qx5hp9jhu2qlxxwefu3ey79,ChatGPT-4,capital punishment..necessary or not,2023-03-28 13:00:48.410769+00:00,1,5,6,6,6,6,6,6,1
0ll3yprr67qbpu204ogv1msgkj0b5720,ChatGPT-4,Do modern communication technologies benefit all people,2023-03-28 13:00:50.871849+00:00,2,4,4,3,5,4,5,3,0
cn6ctjjzh8gzgi7fufcgkaxz066dudu3,Student,should goverment control media crime,2023-03-28 13:00:58.965136+00:00,3,4,4,4,4,4,4,4,0
fgvdmfileakyzco3iwp944837dhuwtbd,ChatGPT-4,zoos should be built to protect rural animals,2023-03-28 13:00:59.792907+00:00,2,2,2,3,3,2,3,3,0
fxty78tj0luhghulpp686zi9swrx64xi,Student,distance-learning vs. attending school in person,2023-03-28 13:01:00.745782+00:00,2,4,4,3,5,4,4,5,2
wjtbk547gm3kbhm2syykrda91a9koceu,ChatGPT-3,Influence of English - advantages outweigh the disadvantages,2023-03-28 13:01:01.005940+00:00,4,5,5,5,6,5,5,5,3
uk9ipqwkaqn2srsu522a9xudwrg1qgmb,ChatGPT-3,advantages and disadvantages of the prevalent of English,2023-03-28 13:01:04.430378+00:00,2,5,5,3,4,3,3,3,0
bphdm8l9hmzokdslryogg8xki0b3jo0j,ChatGPT-3,Traditional games or modern games in developing children's skills,2023-03-28 13:01:05.896772+00:00,2,5,6,5,5,6,5,5,3
kz75qd2mz8s5p9i73lyfdv7bvai36jd0,ChatGPT-4,distance-learning vs. attending school in person,2023-03-28 13:01:06.972574+00:00,3,3,3,3,3,3,3,3,0
rfnh84gq81cvrlu3bnwwf18rgmfux1n2,Student,Growing traffic & pollution can be controlled by increasing petrol prices,2023-03-28 13:01:09.839583+00:00,3,4,4,4,5,4,4,5,1
kvhozafx51i5gz3bcc7h668sdiph7q02,Student,humans should be able to use animals for their own benefit?,2023-03-28 13:01:20.134596+00:00,1,4,5,5,6,5,5,5,0
8276wlcpcdeplfxo6gwqscnzc4zr8zun,Student,Creative Artists,2023-03-28 13:01:28.370421+00:00,3,1,1,3,6,5,4,4,0
2qpxkgwgxmlymjo937jx65f3dzqzisx6,Student,Paying more money is the only motivation to make employees work harder,2023-03-28 13:01:28.719039+00:00,2,4,4,3,5,4,4,4,2
